Date,0S1.F,19H.F,34Q0.F,3V6.F,8TC.F,9A2.F,AAYA.F,ACA.PA,AIR.PA,AMUN.PA,APC.F,BMTA.F,BRYN.DE,C6G.SG,CHQ1.MU,CMC.F,CSF.F,DAU0.F,DP4B.F,E3B.F,ENI.MI,FS5A.F,FVJ.MU,HRS.F,INN1.DE,ITB.F,LGI.DE,LIN.F,LTP.MU,MRE.F,OWQ.F,P5P.F,PGR.F,PHM7.F,PST.MI,RHM.DE,RIOA.F,RQ0.F,SFW.F,STMPA.PA,TL0.F,TSFA.F,TTE.PA,WB2.F
2025-01-02,46.68650817871094,17.720211029052734,1.2599999904632568,19.578340530395508,7.33790397644043,19.900161743164062,15.228235244750977,12.488346099853516,156.61941528320312,60.716285705566406,236.20445251464844,33.557132720947266,443.4500122070313,0.3021254539489746,208.17584228515625,229.78884887695312,135.63467407226562,192.81686401367188,556.2735595703125,2.246000051498413,12.752697944641112,18.768455505371097,10.129841804504396,198.62351989746097,14.151302337646484,29.84109878540039,2.740000009536743,401.771240234375,31.431604385375977,17.018728256225586,11.610824584960938,33.851314544677734,62.5,48.45315170288086,13.198261260986328,600.9583740234375,52.38336944580078,9.444000244140623,19.095291137695312,23.5172061920166,369.6499938964844,192.25848388671875,51.331939697265625,183.8060302734375
2025-01-03,45.768924713134766,17.97054672241211,0.9950000047683716,19.578340530395508,7.52168083190918,20.16444969177246,15.848639488220217,12.371326446533203,155.0937042236328,59.443504333496094,234.66224670410156,33.557132720947266,440.5499877929687,0.3069195449352264,211.8384552001953,229.30043029785156,135.28866577148438,192.029052734375,557.7833251953125,2.211999893188477,12.76027774810791,19.209028244018555,10.0432767868042,198.23214721679688,14.130792617797852,30.196805953979492,2.740000009536743,398.6060791015625,31.07400703430176,16.921478271484375,11.745681762695312,34.00160217285156,63.0,48.50033187866211,13.111841201782228,612.4999389648438,52.851078033447266,8.899999618530273,19.095291137695312,23.21076011657715,399.0,199.5694274902344,51.58988571166992,184.94952392578125
2025-01-06,47.75090408325195,17.618289947509766,1.159999966621399,19.47945976257324,7.394786834716797,20.2061767578125,16.068437576293945,12.507068634033203,156.13040161132812,60.2448844909668,234.562744140625,33.557132720947266,438.2000122070313,0.3050605952739715,212.72933959960935,228.9567413330078,133.45977783203125,190.4534149169922,551.744140625,2.211999893188477,12.921319961547852,18.486488342285156,9.922447204589844,198.7213592529297,14.328426361083984,30.091053009033203,2.740000009536743,392.0780334472656,31.07400703430176,17.115978240966797,11.602123260498049,33.59770965576172,63.0,48.075721740722656,13.26547622680664,603.3463134765625,52.38336944580078,9.682000160217283,19.21928977966309,25.03460693359375,394.9500122070313,208.9551239013672,52.268192291259766,185.4467010498047
2025-01-07,46.50299072265625,17.276758193969727,0.949999988079071,19.578340530395508,7.526055335998535,19.849159240722656,15.978036880493164,12.530473709106444,154.9176483154297,59.34922790527344,232.5728302001953,33.557132720947266,439.5,0.2937113344669342,212.72933959960935,231.8537139892578,136.8209686279297,192.2259979248047,527.2520141601562,2.2279999256134033,12.94215965270996,18.40718650817871,9.516676902770996,193.73129272460935,14.2743558883667,30.110280990600582,2.740000009536743,395.44097900390625,30.49054527282715,16.726980209350586,11.58037281036377,33.287750244140625,62.0,47.08967208862305,13.303885459899902,613.8929443359375,53.31878280639648,9.251999855041504,18.953584671020508,25.51898765563965,378.8999938964844,202.03933715820312,52.526145935058594,182.9608154296875
2025-01-08,46.9617805480957,17.335765838623047,0.7350000143051147,19.578340530395508,7.263518810272217,19.900161743164062,15.970948219299316,12.507068634033203,155.0937042236328,58.45356750488281,233.51805114746097,33.557132720947266,437.5,0.2936134934425354,213.02633666992188,230.8225860595703,144.68028259277344,197.93763732910156,526.5809936523438,2.186000108718872,12.951634407043455,18.239768981933594,9.514873504638672,194.7097320556641,14.192389488220217,30.196805953979492,2.740000009536743,402.7603454589844,30.88578987121582,16.921478271484375,11.349809646606444,33.56013488769531,62.0,46.91982650756836,13.404708862304688,645.5327758789062,52.38336944580078,5.973999977111816,18.91815948486328,24.416772842407227,383.4500122070313,199.5694274902344,52.69811248779297,183.60714721679688
2025-01-09,47.25540542602539,17.396562576293945,0.8650000095367432,19.578340530395508,7.34227991104126,19.955801010131836,15.99576473236084,12.577281951904297,153.13768005371094,57.510765075683594,234.1647796630859,33.46287536621094,438.5499877929687,0.2818728685379028,215.10511779785156,234.4069366455078,142.90081787109375,203.4523162841797,515.3414306640625,2.0940001010894775,13.014155387878418,18.142839431762695,9.659147262573242,199.11273193359375,14.33559513092041,30.254487991333008,2.740000009536743,406.321044921875,31.055185317993164,16.921478271484375,11.40201187133789,33.56013488769531,61.0,47.22649383544922,13.505532264709473,645.9307861328125,52.38336944580078,5.920000076293945,18.75873565673828,24.194353103637695,378.0499877929687,202.03933715820312,52.83186340332031,183.4082794189453
2025-01-10,45.768924713134766,17.164108276367188,0.6499999761581421,19.578340530395508,7.302899360656738,19.793519973754883,15.699745178222656,12.521111488342283,154.09613037109375,58.12358856201172,229.23968505859375,33.368614196777344,431.6000061035156,0.2818728685379028,218.0748291015625,230.3806915283203,142.70309448242188,200.69497680664065,491.6880798339844,2.0859999656677246,13.019840240478516,18.160463333129883,9.66816520690918,198.7213592529297,14.186737060546877,30.014144897460938,2.740000009536743,401.5733947753906,31.036359786987305,16.921478271484375,10.993088722229004,33.57892608642578,61.0,46.952850341796875,13.380703926086426,646.7267456054688,55.18962097167969,5.751999855041504,18.91815948486328,23.7692813873291,385.5499877929687,200.06341552734375,52.78409576416016,183.35855102539065
2025-01-13,46.24606704711914,17.428747177124023,0.4440000057220459,19.28169631958008,7.224138259887695,19.90479850769043,15.47285270690918,12.563239097595217,152.02273559570312,57.510765075683594,227.9462432861328,32.520259857177734,435.0499877929687,0.2957659363746643,218.3717803955078,232.63929748535156,142.70309448242188,200.69497680664065,479.10650634765625,2.059999942779541,13.141096115112305,18.29263687133789,9.713250160217283,200.58038330078125,14.661576271057127,29.427705764770508,2.740000009536743,408.1014404296875,30.8481502532959,16.726980209350586,11.13664722442627,33.588314056396484,60.5,47.12269973754883,13.299084663391112,641.5529174804688,53.786495208740234,3.878999948501587,18.77644920349121,23.15144920349121,393.75,194.8271942138672,53.424190521240234,184.99923706054688
2025-01-14,46.79662322998047,17.450206756591797,0.550000011920929,19.182817459106445,7.355406284332275,19.941890716552734,15.61465835571289,12.778554916381836,152.5508575439453,59.49064254760742,225.0608367919922,32.23747253417969,433.1499938964844,0.2971356809139251,219.85662841796875,235.68356323242188,144.3342742919922,204.8309783935547,479.4420166015625,2.003999948501587,13.019840240478516,18.645095825195312,10.046884536743164,203.8092498779297,14.721872329711914,29.591140747070312,2.740000009536743,409.6839904785156,31.036359786987305,16.82422637939453,11.175799369812012,33.13746643066406,60.5,46.94813537597656,13.43831729888916,651.7015991210938,54.72190856933594,4.552999973297119,18.865015029907227,23.24041748046875,384.0,191.2705078125,53.11847686767578,188.92694091796875
2025-01-15,48.13628387451172,17.677297592163086,0.7099999785423279,19.28169631958008,7.425415992736816,20.261816024780273,15.76532745361328,12.979828834533691,150.9860382080078,60.76342010498047,229.8366851806641,32.61451721191406,444.7000122070313,0.2871561348438263,232.7253265380859,241.4283447265625,143.09852600097656,201.4827880859375,484.6423950195313,2.114000082015991,13.24719524383545,18.47767639160156,10.259688377380373,202.92864990234375,14.921606063842772,29.17774772644043,2.740000009536743,410.6731262207031,31.525714874267575,17.115978240966797,11.489017486572266,33.362892150878906,60.5,46.71223831176758,13.635162353515623,653.0945434570312,54.25419998168945,5.708000183105469,19.148433685302734,23.78411102294922,416.4500122070313,197.1983184814453,53.433746337890625,190.2693023681641
