AAPL,MSFT,IBM,WAB,AMZN,V,UNH,NVDA,AMD,JPM,COP,MS,KO,META,NFLX,NKE,Date
185.49127197265625,366.9158935546875,144.954345703125,111.91988372802734,143.55999755859375,243.8523406982422,533.0922241210938,48.320377349853516,118.58999633789062,143.8912811279297,111.89620971679688,72.68255615234375,55.01837921142578,327.7830810546875,447.239990234375,104.50113677978516,2023-11-10
183.89907836914062,363.9482116699219,144.0594482421875,112.50668334960938,142.58999633789062,243.27565002441406,534.4318237304688,48.60529327392578,116.79000091552734,143.2525634765625,112.21722412109375,72.40274810791016,55.22208023071289,328.2018127441406,444.6199951171875,102.62010192871094,2023-11-13
186.52621459960938,367.5114440917969,146.30642700195312,115.08651733398438,145.8000030517578,245.53271484375,532.3534545898438,49.6409797668457,119.87999725341797,145.86643981933594,112.39232635498047,75.55781555175781,55.38697814941406,335.30047607421875,448.6499938964844,104.14659881591797,2023-11-14
187.0934295654297,367.6606140136719,148.417236328125,114.42910766601562,143.1999969482422,246.69602966308594,530.3341674804688,48.87321472167969,118.0,147.14390563964844,111.8962173461914,76.87967681884766,55.493675231933594,331.71124267578125,461.94000244140625,106.18521118164062,2023-11-15
188.78512573242188,374.1253356933594,148.88412475585938,114.29962158203125,142.8300018310547,247.15341186523438,531.7230224609375,49.46503829956055,119.83000183105469,148.8242645263672,108.93903350830078,76.8603744506836,55.43547821044922,333.18682861328125,466.95001220703125,105.97840118408203,2023-11-16
188.76524353027344,367.83966064453125,148.71876525878906,115.056640625,145.17999267578125,248.13778686523438,528.2459716796875,49.2830924987793,120.62000274658203,150.17051696777344,111.46820068359375,77.45858764648438,55.54217529296875,334.0343017578125,465.9100036621094,104.35340881347656,2023-11-17
190.5166473388672,375.3883972167969,150.13894653320312,115.16621398925781,146.1300048828125,248.54544067382812,527.0737915039062,50.39375305175781,121.52999877929688,150.63235473632812,112.24640655517578,76.89897918701172,55.677982330322266,338.9494934082031,474.4700012207031,104.70795440673828,2023-11-20
189.71058654785156,371.04217529296875,149.7109375,115.59452056884766,143.89999389648438,250.7925567626953,531.4965209960938,49.92889404296875,119.16000366210938,150.3179168701172,112.03239440917969,75.71220397949219,56.28907775878906,335.96844482421875,474.95001220703125,104.9344711303711,2023-11-21
190.37733459472656,375.7961730957031,150.8976593017578,115.8534927368164,146.7100067138672,252.27406311035156,535.6039428710938,48.701263427734375,122.51000213623047,150.67166137695312,111.72111511230469,75.73149871826172,56.66737365722656,340.4648742675781,478.0,106.28369903564453,2023-11-22
189.0438690185547,375.37841796875,150.94627380371094,116.60054779052734,146.74000549316406,252.8507843017578,538.8938598632812,47.76155090332031,122.30999755859375,150.8780059814453,112.34368133544922,75.88587951660156,56.8128776550293,337.2146911621094,479.55999755859375,106.0079345703125,2023-11-24
