AAPL,MSFT,IBM,WAB,AMZN,V,UNH,NVDA,AMD,JPM,COP,MS,KO,META,NFLX,NKE,Date
223.98696899414062,411.9075927734375,199.82696533203125,194.1874237060547,202.61000061035156,307.4562683105469,579.65869140625,141.9392852783203,134.89999389648438,240.22470092773438,108.56440734863281,130.40843200683594,59.93729019165039,552.3432006835938,82.39600372314453,74.99591064453125,2024-11-15
226.99337768554688,412.66192626953125,202.84889221191406,194.47598266601562,201.6999969482422,309.95849609375,577.133544921875,140.10980224609375,138.92999267578125,239.95050048828125,109.95625305175781,130.13604736328125,60.05378723144531,552.6622924804688,84.70500183105469,73.26432037353516,2024-11-18
227.25218200683594,414.6767883300781,204.95448303222656,195.13262939453125,204.61000061035156,309.65069580078125,564.7520141601562,146.9678497314453,139.38999938964844,238.05072021484375,109.30864715576172,128.63800048828125,60.76247024536133,559.331298828125,87.13200378417969,72.30560302734375,2024-11-19
227.96896362304688,412.3939208984375,209.19491577148438,193.45114135742188,202.8800048828125,305.22216796875,587.753173828125,145.84817504882812,137.60000610351562,235.78860473632812,109.63728332519531,128.1029815673828,61.15079116821289,563.7473754882812,88.38500213623047,71.76753997802734,2024-11-20
227.49111938476562,410.6137390136719,216.79844665527344,197.03305053710938,198.3800048828125,307.71441650390625,584.80712890625,146.62796020507812,137.49000549316406,239.6860809326172,108.15843963623047,131.31309509277344,61.89830780029297,561.3250122070312,89.74800109863281,73.46975708007812,2024-11-21
228.83502197265625,414.7211608886719,217.35411071777344,198.14739990234375,197.1199951171875,307.7342834472656,578.3275756835938,141.9093017578125,138.35000610351562,243.39752197265625,108.01345825195312,131.02125549316406,62.05363845825195,557.3873901367188,89.77899932861328,75.71983337402344,2024-11-22
231.82151794433594,416.5013732910156,220.4345245361328,198.27674865722656,201.4499969482422,310.9812316894531,592.9701538085938,135.9810028076172,141.1300048828125,245.10145568847656,102.55237579345703,130.01931762695312,62.50020217895508,563.338623046875,86.55899810791016,77.53945922851562,2024-11-25
234.00167846679688,425.6510925292969,223.06649780273438,200.69451904296875,207.86000061035156,309.62091064453125,593.90966796875,136.88075256347656,137.72000122070312,244.7880859375,103.20963287353516,127.70413208007812,62.665245056152344,571.7421875,87.26000213623047,75.92527770996094,2024-11-26
233.8722381591797,420.67840576171875,221.20460510253906,199.0329132080078,205.74000549316406,312.4805908203125,595.4659423828125,135.3011932373047,136.24000549316406,244.61180114746094,103.79924774169922,127.63604736328125,62.548744201660156,567.4158935546875,87.73400115966797,76.6394271850586,2024-11-27
236.26145935058594,421.1458435058594,221.68228149414062,199.61000061035156,207.88999938964844,312.8578796386719,597.247314453125,138.2103729248047,137.17999267578125,244.54327392578125,104.71747589111328,128.025146484375,62.6807975769043,572.519775390625,88.68099975585938,77.06009674072266,2024-11-29
238.51126098632812,428.624755859375,221.66278076171875,198.77423095703125,210.7100067138672,314.41680908203125,595.6029663085938,138.59027099609375,142.05999755859375,241.14520263671875,102.59103393554688,127.46095275878906,62.260189056396484,590.9718017578125,89.77400207519531,77.76805877685547,2024-12-02
241.5574951171875,428.84356689453125,223.23223876953125,199.34136962890625,213.44000244140625,310.8025207519531,592.3827514648438,140.2198028564453,141.97999572753906,239.744873046875,102.5040512084961,126.88701629638672,62.13302230834961,611.7265014648438,90.21700286865234,77.54190063476562,2024-12-03
241.91587829589844,435.0295715332031,227.60914611816406,201.6795196533203,218.16000366210938,307.71441650390625,597.82470703125,145.09840393066406,143.99000549316406,238.3542938232422,100.0489730834961,126.44928741455078,60.85162353515625,611.8561401367188,91.10600280761719,77.06010437011719,2024-12-04
241.94573974609375,440.2011413574219,228.83740234375,201.9083709716797,220.5500030517578,306.9001770019531,566.68017578125,145.02841186523438,141.36000061035156,240.39117431640625,100.94788360595703,126.77030181884766,61.54612350463867,607.0213012695312,91.78700256347656,77.26658630371094,2024-12-05
241.74664306640625,441.1459655761719,232.04454040527344,204.37588500976562,227.02999877929688,308.81658935546875,537.9531860351562,142.40899658203125,138.58999633789062,242.232177734375,99.7686767578125,126.42011260986328,61.16463851928711,621.8148193359375,93.4739990234375,77.57140350341797,2024-12-06
245.63902282714844,443.58251953125,224.20703125,201.66957092285156,226.08999633789062,306.1257019042969,550.8243408203125,138.77975463867188,130.8699951171875,238.7557830810547,99.71067810058594,125.07768249511719,61.23310852050781,611.646728515625,91.36900329589844,76.34230041503906,2024-12-09
246.65443420410156,440.9072570800781,225.8837127685547,201.84866333007812,225.0399932861328,310.1769104003906,555.3145141601562,135.04058837890625,127.73999786376953,237.8254852294922,98.93742370605469,123.33644104003906,61.53634262084961,617.3787841796875,91.33499908447266,75.45733642578125,2024-12-10
245.38021850585938,446.5363464355469,224.3240203857422,202.82374572753906,230.25999450683594,311.5769958496094,524.2077026367188,139.27964782714844,130.14999389648438,238.48159790039062,98.77310943603516,124.1146469116211,61.272239685058594,630.6968383789062,93.65599822998047,77.53206634521484,2024-12-11
246.8435821533203,447.1032409667969,226.41012573242188,200.9532012939453,228.97000122070312,312.013916015625,506.7481689453125,137.31007385253906,130.60000610351562,236.52304077148438,97.5359115600586,124.42593383789062,62.44603729248047,628.812744140625,92.55500030517578,76.65695190429688,2024-12-12
247.01283264160156,444.82574462890625,225.0063934326172,198.6747283935547,227.4600067138672,312.52032470703125,511.3856506347656,134.22076416015625,126.91000366210938,234.96603393554688,97.64222717285156,123.92982482910156,61.741756439208984,618.405517578125,91.88700103759766,75.95881652832031,2024-12-13
249.90969848632812,449.12213134765625,223.55392456054688,201.2815399169922,232.92999267578125,313.66217041015625,489.78973388671875,131.9712371826172,126.69000244140625,234.6134796142578,96.24071502685547,125.51542663574219,61.1842041015625,622.7852783203125,92.10800170898438,75.9096450805664,2024-12-16
252.33872985839844,451.9764099121094,223.20298767089844,197.19224548339844,231.14999389648438,316.0552062988281,477.0365295410156,130.36160278320312,125.0199966430664,233.4187774658203,94.97452545166016,124.26055908203125,62.01564407348633,617.9964599609375,91.91300201416016,76.69627380371094,2024-12-17
246.9331817626953,434.9997253417969,214.6246337890625,189.31210327148438,220.52000427246094,307.5953063964844,490.9884338378906,128.88192749023438,121.41000366210938,225.59439086914062,92.64510345458984,117.7430648803711,61.4776496887207,595.79833984375,88.95500183105469,75.61466217041016,2024-12-18
248.6653289794922,434.6416931152344,218.28016662597656,188.60568237304688,223.2899932861328,312.6593322753906,480.7013854980469,130.65151977539062,118.87999725341797,228.13072204589844,91.99750518798828,117.2177734375,61.086387634277344,594.1820678710938,90.2040023803711,75.81131744384766,2024-12-19
253.34417724609375,434.21405029296875,217.73428344726562,192.05821228027344,224.9199981689453,315.4693603515625,491.39129638671875,134.670654296875,119.20999908447266,232.67453002929688,91.93950653076172,120.07769012451172,61.1842041015625,583.8861083984375,90.90499877929688,75.65399932861328,2024-12-20
254.12066650390625,432.8714599609375,216.3402862548828,190.4861602783203,225.05999755859375,314.9828186035156,497.49273681640625,139.6395721435547,124.5999984741211,233.44815063476562,93.15737915039062,121.06017303466797,61.01791763305664,598.4520874023438,91.1449966430664,75.47701263427734,2024-12-23
257.0375061035156,436.9291076660156,218.75784301757812,193.18252563476562,229.0500030517578,318.38861083984375,497.2569580078125,140.18946838378906,126.29000091552734,237.28688049316406,93.86297607421875,123.59908294677734,61.467872619628906,606.3336791992188,93.21199798583984,75.50650787353516,2024-12-24
257.853759765625,435.7157897949219,219.2257537841797,192.88401794433594,227.0500030517578,318.6467590332031,502.2187194824219,139.89952087402344,125.05999755859375,238.09967041015625,93.65032958984375,124.54266357421875,61.203765869140625,601.9439697265625,92.41400146484375,75.65399932861328,2024-12-26
254.439208984375,428.1772155761719,217.16888427734375,191.0334014892578,223.75,316.41265869140625,501.0789794921875,136.98016357421875,125.19000244140625,236.17051696777344,93.6793212890625,123.30725860595703,61.086387634277344,598.4121704101562,90.75499725341797,75.14268493652344,2024-12-27
251.0644989013672,422.50836181640625,214.70260620117188,189.98867797851562,221.3000030517578,313.0863037109375,498.92724609375,137.46005249023438,122.44000244140625,234.35887145996094,93.84363555908203,122.32476806640625,60.67555618286133,589.8621215820312,90.04299926757812,73.40226745605469,2024-12-30
249.29251098632812,419.1965637207031,214.29319763183594,188.63552856445312,219.38999938964844,313.8111267089844,497.0211181640625,134.26075744628906,120.79000091552734,234.7407989501953,95.85409545898438,122.29558563232422,60.90053176879883,584.1455078125,89.13200378417969,74.40522003173828,2024-12-31
242.75210571289062,416.2925109863281,214.40042114257812,188.0186309814453,220.22000122070312,312.18267822265625,495.6947326660156,138.27987670898438,120.62999725341797,235.0247802734375,96.73367309570312,121.38118743896484,60.489707946777344,597.8435668945312,88.6729965209961,72.43865203857422,2025-01-02
242.26431274414062,421.0364990234375,217.04217529296875,189.49119567871094,224.19000244140625,312.6890869140625,504.0364074707031,144.43853759765625,125.37000274658203,238.2367706298828,97.70989227294922,122.50959014892578,60.40167236328125,603.220947265625,88.1050033569336,72.08467102050781,2025-01-03
243.89691162109375,425.5118713378906,217.0616455078125,191.26223754882812,227.61000061035156,310.832275390625,504.6946716308594,149.39744567871094,129.5500030517578,237.0752716064453,96.64667510986328,125.13605499267578,59.48219680786133,628.7313842773438,88.17900085449219,70.79656982421875,2025-01-06
241.11947631835938,420.0617980957031,218.31918334960938,188.1877899169922,222.11000061035156,309.471923828125,505.2645568847656,140.10946655273438,127.33000183105469,239.35890197753906,98.27049255371094,123.42398071289062,59.511539459228516,616.4500732421875,87.91899871826172,70.88505554199219,2025-01-07
241.60726928710938,422.23980712890625,217.55880737304688,190.30706787109375,222.1300048828125,310.3953857421875,515.3551025390625,140.07948303222656,121.83999633789062,239.3195343017578,98.22217559814453,124.3772964477539,60.362548828125,609.2967529296875,87.5,70.09843444824219,2025-01-08
235.78363037109375,416.6605224609375,214.2152099609375,187.9191436767578,218.94000244140625,305.5398254394531,511.5920715332031,135.8804168701172,116.04000091552734,236.11061096191406,98.51214599609375,120.08740997314453,59.73651885986328,614.4248046875,83.76899719238281,70.00994110107422,2025-01-10
233.3446502685547,414.9101257324219,211.92437744140625,190.8741912841797,218.4600067138672,304.7554626464844,531.6847534179688,133.20098876953125,117.31999969482422,240.38259887695312,100.74490356445312,120.61270904541016,60.30385971069336,606.912353515625,84.02899932861328,70.87522888183594,2025-01-13
232.22967529296875,413.3984375,212.26556396484375,197.10269165039062,217.75999450683594,306.91015625,534.2392578125,131.73129272460938,116.08999633789062,243.5915069580078,101.3731689453125,121.22555541992188,60.685340881347656,592.8651123046875,82.83999633789062,69.98043060302734,2025-01-14
236.79901123046875,423.98028564453125,214.4881591796875,199.2816619873047,223.35000610351562,314.0494079589844,533.9248657226562,136.21034240722656,119.95999908447266,248.39503479003906,101.95310974121094,126.99403381347656,60.421234130859375,615.6818237304688,84.82599639892578,69.8821029663086,2025-01-15
227.23228454589844,422.25970458984375,217.05191040039062,198.34640502929688,220.66000366210938,315.0125732421875,501.6684875488281,133.54090881347656,118.44000244140625,250.28494262695312,102.07875061035156,132.1107635498047,60.8907585144043,609.8754272460938,84.23699951171875,69.92144012451172,2025-01-16
228.9445343017578,426.6854248046875,219.12826538085938,200.6746063232422,225.94000244140625,317.3658752441406,500.8529968261719,137.6800079345703,121.45999908447266,255.09832763671875,102.31072998046875,134.1146240234375,61.3407096862793,611.342041015625,85.80999755859375,69.65595245361328,2025-01-17
221.6375732421875,426.1583251953125,218.6116180419922,204.6146697998047,230.7100067138672,321.34759521484375,515.81689453125,140.79933166503906,122.27999877929688,258.90765380859375,100.7932357788086,133.56016540527344,61.057037353515625,615.0234375,86.96800231933594,71.94700622558594,2025-01-21
222.82223510742188,443.7616271972656,217.63677978515625,205.93797302246094,235.00999450683594,321.278076171875,510.63897705078125,147.03799438476562,123.75,258.7206115722656,99.61402130126953,132.2955780029297,60.43101501464844,622.0469970703125,95.39900207519531,72.8024673461914,2025-01-22
222.6529998779297,444.2687683105469,220.34677124023438,207.9378662109375,235.4199981689453,325.8952941894531,520.5133666992188,147.1879425048828,123.04000091552734,261.78192138671875,100.5129165649414,134.04653930664062,60.18647384643555,634.966796875,98.48600006103516,73.04828643798828,2025-01-23
221.77694702148438,441.63330078125,219.13803100585938,207.8085174560547,234.85000610351562,327.87127685546875,523.2055053710938,142.58892822265625,122.83999633789062,260.68927001953125,98.42515563964844,134.06600952148438,60.56795883178711,645.9811401367188,97.75900268554688,72.34032440185547,2025-01-24
228.82508850097656,432.1852111816406,218.48489379882812,203.3013153076172,235.4199981689453,332.1806640625,534.0231323242188,118.39421081542969,115.01000213623047,261.6834716796875,99.25639343261719,132.92787170410156,62.475379943847656,658.3422241210938,97.18900299072266,74.31672668457031,2025-01-27
237.187255859375,444.7561340332031,219.9763641357422,204.02764892578125,238.14999389648438,332.1210632324219,533.001220703125,128.9619140625,114.16999816894531,262.9532470703125,97.99019622802734,134.76638793945312,60.99835205078125,672.758544921875,97.18299865722656,73.14661407470703,2025-01-28
238.2823028564453,439.9127197265625,222.87156677246094,205.7688446044922,237.07000732421875,333.5111999511719,528.69775390625,123.67305755615234,117.3499984741211,262.4019775390625,98.16417694091797,134.93174743652344,61.458091735839844,674.9135131835938,97.81500244140625,75.30001068115234,2025-01-29
236.52027893066406,412.7221374511719,251.76499938964844,208.80348205566406,234.63999938964844,340.630615234375,536.037353515625,124.62285614013672,118.86000061035156,264.0261535644531,98.06752014160156,136.12828063964844,62.65145492553711,685.3990478515625,97.3239974975586,77.02075958251953,2025-01-30
234.93743896484375,412.791748046875,249.25973510742188,206.8732452392578,237.67999267578125,339.3894348144531,533.0110473632812,120.04385375976562,115.94999694824219,263.1107177734375,95.52545928955078,135.55538940429688,62.09389877319336,687.573974609375,97.6760025024414,75.61466217041016,2025-01-31
226.98341369628906,408.67437744140625,254.16305541992188,203.60975646972656,237.4199981689453,343.381103515625,538.6016845703125,116.63459777832031,114.2699966430664,262.6283874511719,95.18716430664062,134.31178283691406,61.966732025146484,695.8345947265625,97.89399719238281,75.30984497070312,2025-02-03
