date,ticker,type,quantity
25-03-2025,ACA.PA,shares,7
31-03-2025,ACA.PA,shares,20
29-04-2025,ACA.PA,shares,33
30-04-2025,ACA.PA,shares,5
27-05-2025,AMUN.PA,shares,10
30-05-2025,AMUN.PA,shares,7
13-06-2025,ACA.PA,shares,5
29-07-2025,AMUN.PA,shares,7
