Date,PEA,QBTS,TradeClassic
2025-01-03,,,99.95038864172284
2025-01-06,,,100.03970836336897
2025-01-07,,,100.06154382417529
2025-01-08,,,100.11854339084498
2025-01-09,,,100.17472072156227
2025-01-10,,99.52063488140797,100.10616433464699
2025-01-13,,93.88668264580463,100.0605295961575
2025-01-14,,98.09224773581174,100.13929950437782
2025-01-15,,103.55764146155136,100.24845340881762
2025-01-16,,103.88184170939337,100.29764102059006
2025-01-17,,101.72148938851822,100.36664660501432
2025-01-20,,103.4368826508155,100.35158676169513
2025-01-21,,105.21794278252273,100.38182704312749
2025-01-22,,105.30338761329985,100.34682876538837
2025-01-23,,104.84048647037123,100.34935246502765
2025-01-24,,104.62090156349848,100.3165703427144
2025-01-27,,102.5805194801349,100.39288303384978
2025-01-28,,103.59041031354292,100.38540381134308
2025-01-29,,103.19485774568973,100.41288446679759
2025-01-30,,103.55539495596291,100.47984437541528
2025-01-31,,104.51764706869997,100.4968973196216
2025-02-03,,104.11598829536635,100.4120240078677
2025-02-04,,104.30191048192745,100.43435932913593
2025-02-05,,105.25395228866267,100.40228885410197
2025-02-06,,104.69464083321809,100.45703160795713
2025-02-07,,104.18974671341401,100.44476989668114
2025-02-10,,105.04027542639464,100.48659731163913
2025-02-11,,103.21470001460949,100.54985547388722
2025-02-12,,104.96804627990855,100.5402874121066
2025-02-13,,106.45147134202064,100.5402874121066
2025-02-14,,106.1906539678708,100.5043145881974
2025-02-17,,106.55594372005271,100.56728298279356
2025-02-18,,105.19336256106484,100.59109401790313
2025-02-19,,107.27444561958193,100.46098258058538
2025-02-20,,108.67562703529354,100.4389114116515
2025-02-21,,108.62106536223193,100.62887365004698
2025-02-24,,107.04227394116582,100.6476413762871
2025-02-25,,105.56640557238222,100.64297382097158
2025-02-26,,106.22313909704695,100.79487518948125
2025-02-27,,104.96536368396441,100.83523286664548
2025-02-28,,104.61352610300506,100.89508693859956
2025-03-03,,101.91368509985286,100.9800972762511
2025-03-04,,103.81402772703983,100.9290303160338
2025-03-05,,104.27578387179778,100.93334914701488
2025-03-06,,103.16633556826054,101.0972722602422
2025-03-07,,102.67511954711455,101.16315801167465
2025-03-10,,100.21442627583642,101.11872631739638
2025-03-11,,103.04361013893961,101.0921209864862
2025-03-12,,106.17163287843772,101.15812674378353
2025-03-13,,110.02566352303751,101.23096565351818
2025-03-14,,117.2253091712078,101.2547295999501
2025-03-17,,119.06174255751556,101.24096559792908
2025-03-18,,118.51957311824803,101.3357397029315
2025-03-19,,118.19868856004452,101.31462528205653
2025-03-20,,115.94257415689904,101.27985048554598
2025-03-21,,115.9949884368785,101.25251632699658
2025-03-24,,116.41524365032394,101.24661072171179
2025-03-25,,116.24591126693345,101.3077472851934
2025-03-26,99.94286110379505,115.53525555246364,101.29031909707837
2025-03-27,99.92649887914858,115.00394986692841,101.32536029234127
2025-03-28,99.87350615751225,114.18579260865425,101.36581263628293
2025-03-31,99.81034237628327,114.06392032496588,101.2801852236628
2025-04-01,99.89937924305761,114.14947388330023,101.35442416842851
2025-04-02,99.90859961220157,113.71638780817761,101.44231307490944
2025-04-03,99.70081262177078,112.82582141343562,101.3344072334706
2025-04-04,99.41224357503336,110.99723687243117,100.98806386049488
2025-04-07,99.17205901411647,111.33943341215229,100.73289254466606
2025-04-08,99.1697589582926,110.35824916746371,100.8669404904901
2025-04-09,99.07999691029474,114.0172011135073,100.77115161005368
2025-04-10,99.22630329229308,113.91167241814324,100.99778179499634
2025-04-11,99.28301335297877,113.21261731747994,101.04941456075724
2025-04-14,99.43709087935657,113.06296395469192,101.28259279825835
2025-04-15,99.58472356435348,112.49601907773695,101.3579761802601
2025-04-16,99.65654069661085,111.13910231605095,101.44914495767397
2025-04-17,99.66055953232011,111.74416899069524,101.52652682281268
2025-04-22,99.71475143595299,110.54430644338274,101.58367047592853
2025-04-23,99.82141793531227,113.56725002656664,101.65249203733069
2025-04-24,99.82141793531227,114.63674393237872,101.6985812982382
2025-04-25,99.89414779023842,114.487657696295,101.71255848612664
2025-04-28,99.98589946037274,114.6066680351246,101.75082326331703
2025-04-29,100.0314232278398,113.2710038971318,101.76800601622892
2025-04-30,99.75851110503254,112.80680991268743,101.84661024967663
2025-05-02,99.76438919660086,115.7233895276654,101.9165951397489
2025-05-05,99.78590510741397,114.87248191758444,101.95731698655183
2025-05-06,99.78979184295991,114.31644626865547,101.9814251816747
2025-05-07,99.80532181758616,113.83772629184483,102.0165018805608
2025-05-08,99.86714973616293,123.92888728893936,102.03698758914364
2025-05-09,99.89370212545022,124.61818716859226,102.0260320255351
2025-05-12,99.95390596008885,124.2527727779529,101.98675988814986
2025-05-13,99.96129504177419,124.20143303638014,101.94855608297728
2025-05-14,100.07556279983751,124.42195517311592,101.95339287780993
2025-05-15,100.10225917145144,124.49579563003606,102.02744259545813
2025-05-16,100.07931497821754,126.23046668951727,102.04472272458922
2025-05-19,100.0970924631766,126.69662080659725,102.08689221139772
2025-05-20,100.18725295894735,129.81853528670555,102.14848616348242
2025-05-21,100.17178483303051,129.12047201334806,102.13943678380323
2025-05-22,100.16314915404989,131.46628472862838,102.14700101524332
2025-05-23,100.0436428775689,131.32835330458155,102.12285822679048
2025-05-26,100.11670219818419,131.54146116819086,102.22936299173941
2025-05-27,100.10542581498159,130.87895151738903,102.2396361919754
2025-05-28,100.03499771925726,130.76758957211416,102.23378647224712
2025-05-29,100.0510700312633,130.38658109028881,102.21766732292717
2025-05-30,100.04940724307039,130.00263568158806,102.24861442715087
2025-06-02,100.0684406755883,130.57036389783434,102.25298790166724
2025-06-03,100.07241654965968,130.75532377451765,102.17146844241903
2025-06-04,100.07076490391971,130.94677618113215,102.17146844241903
2025-06-05,100.09223272359849,130.30090111331245,102.20592442114247
2025-06-06,100.10541541807434,131.26105054255845,102.24293589667057
2025-06-09,100.14430716222043,131.3351660682561,102.23270435528278
2025-06-10,100.05049986976273,130.71985148584952,102.17696266834164
2025-06-11,100.03053198461762,130.45648406273912,102.17247503126134
2025-06-12,100.03459024631782,130.0777286676877,102.1544984686792
2025-06-13,99.99539439036685,129.6155584032369,102.11982779784137
2025-06-16,100.05962637956674,130.10280678820317,102.14728725961555
2025-06-17,100.0060302957057,129.71309698106182,102.11441159284595
2025-06-18,100.0152855767353,129.72780748774534,102.12836170963048
2025-06-19,99.92967592655187,129.98082420401335,102.10926835673494
