Date,PEA,QBTS,TradeClassic,Total
2025-01-02,0.0,0.0,1.9999999999999998,1.9999999999999998
2025-01-03,0.0,0.0,1.9869043266389101,1.9869043266389101
2025-01-06,0.0,0.0,2.0101854273818622,2.0101854273818622
2025-01-07,0.0,0.0,2.0160057748251727,2.0160057748251727
2025-01-08,0.0,0.0,1.921284060413111,1.921284060413111
2025-01-09,0.0,50.49999999999999,1.9357349819472343,52.43573498194723
2025-01-10,0.0,49.066890022988055,1.9178434559358981,50.98473347892395
2025-01-13,0.0,52.08944170182536,1.90614504532139,53.995586747146746
2025-01-14,0.0,61.1403015792991,1.9261011253839686,63.066402704683064
2025-01-15,0.0,76.65030851230988,1.9543147382053923,78.60462325051527
2025-01-16,0.0,92.77001993424356,1.9673894726243204,94.73740940686788
2025-01-17,0.0,81.56097213232637,1.9859692288824788,83.54694136120885
2025-01-20,0.0,88.58658564031589,1.9818402574692189,90.5684258977851
2025-01-21,0.0,97.0492587062904,1.990098063606514,99.03935676989691
2025-01-22,0.0,97.52827348308367,1.980464070354024,99.50873755343768
2025-01-23,0.0,110.27963551336569,1.981152300600846,112.26078781396653
2025-01-24,0.0,108.90670814016947,1.9722064009059532,110.87891454107542
2025-01-27,0.0,96.43902469571005,1.9928504378369045,98.43187513354695
2025-01-28,0.0,101.37415492173058,1.9907861571641117,103.36494107889469
2025-01-29,0.0,99.25909531908954,1.9983557330545845,101.25745105214412
2025-01-30,0.0,101.11440377568019,2.016935352623518,103.13133912830371
2025-01-31,0.0,106.23506042395552,2.021752280905151,108.25681270486066
2025-02-03,0.0,121.97737088397044,1.9976676394969868,123.97503852346742
2025-02-04,0.0,123.19714968210273,2.00386089158304,125.20101057368578
2025-02-05,0.0,129.55739442673772,1.9949149918881468,131.55230941862587
2025-02-06,0.0,125.46244574555455,2.0100540069798676,127.47249975253442
2025-02-07,0.0,121.97737088397044,2.00661326581343,123.98398414978386
2025-02-10,0.0,142.4534802761936,2.018311676427938,144.47179195262154
2025-02-11,0.0,127.9551478298044,2.0362033391284986,129.9913511689329
2025-02-12,0.0,139.38839688248248,2.0334506915196586,141.42184757400213
2025-02-13,0.0,150.6756884783576,2.0334506915196586,152.70913916987726
2025-02-14,0.0,148.38904098773708,2.0231286047095707,150.41216959244665
2025-02-17,0.0,117.8127846000994,2.0410202674101314,119.85380486750954
2025-02-18,0.0,108.43012985081842,2.0479017497430068,110.47803160056142
2025-02-19,0.0,120.72594218361559,2.0100540069798676,122.73599619059546
2025-02-20,0.0,130.78959141236228,2.00386089158304,132.79345230394532
2025-02-21,0.0,130.33558907928324,2.056847512748675,132.3924365920319
2025-02-24,0.0,135.03311220478957,2.062352534587905,137.0954647393775
2025-02-25,0.0,123.48996452535602,2.0609763474727103,125.55094087282873
2025-02-26,0.0,127.84586735055896,2.1057054358794995,129.95157278643845
2025-02-27,0.0,109.95981727891174,2.118091940051605,112.07790921896334
2025-02-28,0.0,107.94664052015372,2.1366715596205386,110.08331207977426
2025-03-03,0.0,97.62885265087644,2.163509122015992,99.79236177289243
2025-03-04,0.0,106.03930888037725,2.1469937831198513,108.1863026634971
2025-03-05,0.0,108.40606876143326,2.1483699702350467,110.55443873166831
2025-03-06,0.0,102.48916402058263,2.2006684978430844,104.68983251842572
2025-03-07,0.0,100.12240413952662,2.22268899526768,102.3450931347943
2025-03-10,0.0,88.7535005778111,2.207550116865184,90.96105069467627
2025-03-11,0.0,99.27713347317956,2.1986042171702915,101.47573769034985
2025-03-12,0.0,113.43543224912464,2.2206245779056624,115.65605682703031
2025-03-13,0.0,5.799281334584828,2.2453975862498736,8.044678920834702
2025-03-14,0.0,8.233279582218145,2.253655255697944,10.486934837916088
2025-03-17,0.0,16.38778303941212,2.2488383274163115,18.636621366828432
2025-03-18,0.0,15.611312328610998,2.281868868519368,17.893181197130367
2025-03-19,0.0,15.192364993236147,2.2742994293181202,17.466664422554267
2025-03-20,0.0,12.395180581894355,2.26191278845679,14.657093370351145
2025-03-21,0.0,12.439280143299218,2.252278931893524,14.691559075192743
2025-03-24,0.0,22.33522789066303,2.2502146512207313,24.58544254188376
2025-03-25,113.33595848083496,22.071296861703352,2.27154678170928,137.6788021242476
2025-03-26,112.28745651245117,20.988076598315885,2.2653535296232272,135.5408866403903
2025-03-27,111.99256992340088,20.251267940753618,2.277740033795333,134.52157789794984
2025-03-28,111.04236793518066,19.190041711285545,2.2921910920186805,132.52460073848488
2025-03-31,424.00930023193354,19.04707852436428,2.2612248315884167,445.31760358788625
2025-04-01,429.9492301940918,19.146053643446752,2.2873741637370477,451.3826580012756
2025-04-02,430.5811414718628,33.74018430848333,2.3190283810356846,466.6403541613818
2025-04-03,416.3000392913819,31.948669488427306,2.279116357599753,450.52782513740897
2025-04-04,397.7219867706298,28.62441434304257,2.1552513158786972,428.5016524295511
2025-04-07,383.56728744506836,29.13201119745256,2.0733627149555907,414.7726613574765
2025-04-08,383.44091033935547,27.629129650203602,2.1132748750807475,413.1833148646398
2025-04-09,378.51204872131353,39.665038464618725,2.0836849384549034,420.26077212438713
2025-04-10,386.34766101837164,39.42369376519311,2.151810711401484,427.9231654949662
2025-04-11,389.50721740722656,37.84288397001632,2.168326050297625,429.51842742754053
2025-04-14,398.22752094268793,37.52913528535187,2.2440213991346787,438.00067762717447
2025-04-15,406.94785022735596,36.35861378084322,2.2701707312833097,445.5766347394825
2025-04-16,411.37117767333984,40.10588558196028,2.302513042139544,453.77957629743963
2025-04-17,411.6239318847657,41.326000798052775,2.330726791650193,455.2806594744687
2025-04-22,415.0362424850464,38.770937522571074,2.352059058827966,456.1592390664455
2025-04-23,421.86083793640137,59.998298306495585,2.3782085276658225,484.2373447705628
2025-04-24,421.86083793640137,63.501424753026825,2.3961000536771584,487.75836274310535
2025-04-25,426.6632966995239,62.95950698520355,2.4016053488948383,492.02440903362236
2025-04-28,432.85600662231445,4.105302813080696,2.4167442272973343,439.3780536626925
2025-04-29,968.9234161376953,3.7919209280780244,2.4236257096302096,975.1389627754036
2025-04-30,1003.4208250045778,3.697906302804372,2.455279926928846,1009.574011234311
2025-05-02,1004.3335485458374,4.261993755582031,2.4841817699970927,1011.0797240714165
2025-05-05,1007.6803255081177,80.04889397814365,2.501385202450831,1090.2306046887122
2025-05-06,1008.2888078689575,77.54581537342149,2.511707425950144,1088.346330668329
2025-05-07,1010.7229232788086,75.51361393640077,2.526846577731089,1088.7633837929404
2025-05-08,1020.4589509963989,31.94632953431717,2.5357920673583076,1054.9410725980742
2025-05-09,1024.7184514999392,33.61410336349756,5.030975139076675,1063.3635300025135
2025-05-12,1034.4544792175293,32.640668609410106,4.996778817016746,1072.0919266439562
2025-05-13,1035.6715059280396,32.511330874913575,4.963950804304602,1073.1467876072577
2025-05-14,1054.5350170135498,33.062715496235455,4.968054102114428,1092.5657866118995
2025-05-15,1059.098882675171,33.2533203526168,5.030975139076675,1097.3831781668644
2025-05-16,1055.1434993743896,47.780128076234526,20.75602165120173,1123.679649101826
2025-05-19,1058.18603515625,49.738682480038385,20.907937297209127,1128.8326549334975
2025-05-20,1073.7029552459717,63.90053961029286,21.132996602864278,1158.7364914591287
2025-05-21,1070.9646606445312,58.799686468503985,21.099235583540874,1150.863582696576
2025-05-22,1069.4434547424316,73.39199272519193,21.127368276152392,1163.9628157437758
2025-05-23,1048.449945449829,82.07912227380389,44.88734410684293,1175.416411830476
2025-05-26,1060.7999801635742,84.30939952078613,45.727708042384535,1190.837087726745
2025-05-27,1753.6931991577148,77.00584947307546,45.811743482074455,1876.5107921128647
2025-05-28,1724.2117977142334,75.9764903841118,45.76372118682827,1845.9520092851735
2025-05-29,1728.2903575897217,72.54529497911098,45.631663451892166,1846.4673160207249
2025-05-30,2198.40726852417,69.38369039349618,45.883779309604336,2313.6747382272706
2025-06-02,2217.359914779663,83.67268581840572,76.51979245404807,2377.5523930521167
2025-06-03,2225.5251998901367,85.45414384895827,75.39949720930636,2386.3788409484014
2025-06-04,2230.4625511169434,87.37477057329218,75.39949720930636,2393.236818899542
2025-06-05,2240.016704559326,80.61080997163057,75.85961761902189,2396.4871321499786
2025-06-06,2246.6458530426025,89.21189501952769,76.35974573480027,2412.2174937969303
2025-06-09,2262.7000370025635,90.0191191021316,96.91971081608212,2449.638866920777
2025-06-10,2221.89994430542,83.19948677563913,95.95306069939986,2401.052491780459
2025-06-11,2209.574977874756,80.69431755887688,95.87674089760601,2386.1460363312385
2025-06-12,2197.2499961853027,77.2984219814123,95.57149200814852,2370.119910174864
2025-06-13,2246.450044631958,73.4849937768641,94.9864105827176,2414.92144899154
2025-06-16,2276.449905395508,78.13140680691968,132.35429907576275,2486.93561127819
2025-06-17,2250.9500160217285,74.88885570652866,131.62978125071342,2457.4686529789706
2025-06-18,2258.1500492095947,75.00164271147185,131.91833025006554,2465.070022171132
2025-06-19,2219.5999641418457,76.94717552289863,131.48052389742813,2428.0276635621726
2025-06-20,2230.800054550171,76.74979826424804,132.91229915798687,2440.462151972406
2025-06-23,2204.74991607666,79.87348178071525,127.34657172983718,2411.9699695872127
2025-06-24,2255.5499954223633,79.13562120783041,128.32002295268094,2463.0056395828747
2025-06-25,2254.0000286102295,75.26184880218905,90.62525890715762,2419.8871363195763
2025-06-26,2267.8000812530518,74.46249838223181,90.78128377896454,2433.0438634142483
2025-06-27,2302.5499572753906,71.94147329220995,91.40433307984057,2465.895763647441
2025-06-30,2292.4499855041504,77.44469146130196,91.87386069450318,2461.768537659955
2025-07-01,2272.4999866485596,77.01426839578986,62.203221150300635,2411.71747619465
2025-07-02,2305.1000061035156,97.95939361347178,85.43651230588037,2488.4959120228677
2025-07-03,2307.749973297119,103.25645379832976,86.36635312834301,2497.372780223792
2025-07-04,2277.799982070923,102.60339698712443,86.14742339518432,2466.550802453232
2025-07-07,2289.650022506714,101.40611578643046,86.44773607931575,2477.50387437246
2025-07-08,2296.1000061035156,102.53083281251253,86.64671731558568,2485.2775562316137
2025-07-09,2337.999973297119,107.80636556477747,109.67833039363886,2555.4846692555357
2025-07-10,2342.8000259399414,107.49867734469413,110.28491291657595,2560.5836162012115
2025-07-11,2321.899948120117,98.46032579292999,110.56403476882252,2530.9243086818697
