Date,0S1.F,19H.F,3V6.F,8TC.F,9A2.F,AAYA.F,AIR.PA,APC.F,BMTA.F,BRYN.DE,C6G.SG,CHQ1.MU,CMC.F,CSF.F,DAU0.F,DP4B.F,E3B.F,EL.PA,ENI.MI,FS5A.F,FVJ.MU,HRS.F,INN1.DE,ITB.F,LGI.DE,LIN.F,LTP.MU,MRE.F,OWQ.F,P5P.F,PGR.F,PHM7.F,PST.MI,RHM.DE,RIOA.F,SFW.F,STMPA.PA,TL0.F,TSFA.F,TTE.PA,WB2.F
2025-01-02,50.880001068115234,19.81999969482422,19.799999237060547,8.385000228881836,21.459999084472656,17.18199920654297,160.13999938964844,237.39999389648438,35.599998474121094,443.45001220703125,1.5440000295639038,210.3000030517578,235.25,137.1999969482422,195.8000030517578,1658.0,2.246000051498413,234.1999969482422,13.461999893188477,21.299999237060547,11.234000205993652,203.0,15.180000305175781,31.040000915527344,2.740000009536743,406.20001220703125,33.400001525878906,17.5,13.345000267028809,36.040000915527344,62.5,51.349998474121094,13.744999885559082,604.0,56.0,21.559999465942383,23.790000915527344,369.6499938964844,194.60000610351562,53.72999954223633,184.85000610351562
2025-01-03,49.880001068115234,20.100000381469727,19.799999237060547,8.595000267028809,21.7450008392334,17.881999969482422,158.5800018310547,235.85000610351562,35.599998474121094,440.54998779296875,1.56850004196167,214.0,234.75,136.85000610351562,195.0,1662.5,2.2119998931884766,230.1999969482422,13.470000267028809,21.799999237060547,11.137999534606934,202.60000610351562,15.157999992370605,31.40999984741211,2.740000009536743,403.0,33.02000045776367,17.399999618530273,13.5,36.20000076293945,63.0,51.400001525878906,13.654999732971191,615.5999755859375,56.5,21.559999465942383,23.479999542236328,399.0,202.0,54.0,186.0
2025-01-06,52.040000915527344,19.70599937438965,19.700000762939453,8.449999809265137,21.790000915527344,18.1299991607666,159.63999938964844,235.75,35.599998474121094,438.20001220703125,1.559000015258789,214.89999389648438,233.14999389648438,135.0,193.39999389648438,1644.5,2.2119998931884766,233.0,13.640000343322754,20.979999542236328,11.003999710083008,203.10000610351562,15.369999885559082,31.299999237060547,2.740000009536743,396.3999938964844,33.02000045776367,17.600000381469727,13.335000038146973,35.77000045776367,63.0,50.95000076293945,13.8149995803833,606.4000244140625,56.0,21.700000762939453,25.325000762939453,394.95001220703125,211.5,54.709999084472656,186.5
2025-01-07,50.68000030517578,19.323999404907227,19.799999237060547,8.600000381469727,21.405000686645508,18.027999877929688,158.39999389648438,233.75,35.599998474121094,439.5,1.5010000467300415,214.89999389648438,236.10000610351562,138.39999389648438,195.1999969482422,1571.5,2.2279999256134033,234.8000030517578,13.661999702453613,20.889999389648438,10.553999900817871,198.0,15.312000274658203,31.31999969482422,2.740000009536743,399.79998779296875,32.400001525878906,17.200000762939453,13.3100004196167,35.439998626708984,62.0,49.904998779296875,13.854999542236328,617.0,57.0,21.399999618530273,25.815000534057617,378.8999938964844,204.5,54.97999954223633,184.0
2025-01-08,51.18000030517578,19.389999389648438,19.799999237060547,8.300000190734863,21.459999084472656,18.020000457763672,158.5800018310547,234.6999969482422,35.599998474121094,437.5,1.500499963760376,215.1999969482422,235.0500030517578,146.35000610351562,201.0,1569.5,2.186000108718872,233.8000030517578,13.67199993133545,20.700000762939453,10.552000045776367,199.0,15.064000129699707,31.40999984741211,2.740000009536743,407.20001220703125,32.81999969482422,17.399999618530273,13.045000076293945,35.72999954223633,62.0,49.724998474121094,13.960000038146973,648.7999877929688,56.0,21.360000610351562,24.700000762939453,383.45001220703125,202.0,55.15999984741211,184.64999389648438
2025-01-09,51.5,19.45800018310547,19.799999237060547,8.390000343322754,21.520000457763672,18.04800033569336,156.5800018310547,235.35000610351562,35.5,438.54998779296875,1.440500020980835,217.3000030517578,238.6999969482422,144.5500030517578,206.60000610351562,1536.0,2.0940001010894775,235.60000610351562,13.73799991607666,20.59000015258789,10.711999893188477,203.5,15.215999603271484,31.469999313354492,2.740000009536743,410.79998779296875,33.0,17.399999618530273,13.104999542236328,35.72999954223633,61.0,50.04999923706055,14.0649995803833,649.2000122070312,56.0,21.18000030517578,24.475000381469727,378.04998779296875,204.5,55.29999923706055,184.4499969482422
2025-01-10,49.880001068115234,19.197999954223633,19.799999237060547,8.345000267028809,21.344999313354492,17.714000701904297,157.55999755859375,230.39999389648438,35.400001525878906,431.6000061035156,1.440500020980835,220.3000030517578,234.60000610351562,144.35000610351562,203.8000030517578,1465.5,2.0859999656677246,235.10000610351562,13.744000434875488,20.610000610351562,10.722000122070312,203.10000610351562,15.057999610900879,31.219999313354492,2.740000009536743,406.0,32.97999954223633,17.399999618530273,12.635000228881836,35.75,61.0,49.7599983215332,13.9350004196167,650.0,59.0,21.360000610351562,24.045000076293945,385.54998779296875,202.5,55.25,184.39999389648438
2025-01-13,50.400001525878906,19.493999481201172,19.5,8.255000114440918,21.46500015258789,17.45800018310547,155.44000244140625,229.10000610351562,34.5,435.04998779296875,1.5115000009536743,220.60000610351562,236.89999389648438,144.35000610351562,203.8000030517578,1428.0,2.059999942779541,233.39999389648438,13.871999740600586,20.760000228881836,10.772000312805176,205.0,15.562000274658203,30.610000610351562,2.740000009536743,412.6000061035156,32.779998779296875,17.200000762939453,12.800000190734863,35.7599983215332,60.5,49.939998626708984,13.850000381469727,644.7999877929688,57.5,21.200000762939453,23.420000076293945,393.75,197.1999969482422,55.91999816894531,186.0500030517578
2025-01-14,51.0,19.51799964904785,19.399999618530273,8.404999732971191,21.5049991607666,17.618000030517578,155.97999572753906,226.1999969482422,34.20000076293945,433.1499938964844,1.5184999704360962,222.10000610351562,240.0,146.0,208.0,1429.0,2.003999948501587,233.5,13.744000434875488,21.15999984741211,11.142000198364258,208.3000030517578,15.62600040435791,30.780000686645508,2.740000009536743,414.20001220703125,32.97999954223633,17.299999237060547,12.845000267028809,35.279998779296875,60.5,49.755001068115234,13.994999885559082,655.0,58.5,21.299999237060547,23.510000228881836,384.0,193.60000610351562,55.599998474121094,190.0
2025-01-15,52.459999084472656,19.77199935913086,19.5,8.484999656677246,21.850000381469727,17.788000106811523,154.3800048828125,231.0,34.599998474121094,444.70001220703125,1.4674999713897705,235.10000610351562,245.85000610351562,144.75,204.60000610351562,1444.5,2.114000082015991,236.6999969482422,13.984000205993652,20.969999313354492,11.378000259399414,207.39999389648438,15.838000297546387,30.350000381469727,2.740000009536743,415.20001220703125,33.5,17.600000381469727,13.204999923706055,35.52000045776367,60.5,49.505001068115234,14.199999809265137,656.4000244140625,58.0,21.6200008392334,24.059999465942383,416.45001220703125,199.60000610351562,55.93000030517578,191.35000610351562
